TBLID,GEOID,GEONAME,PROFLN,ESTIMATE,MG_ERROR
TITLE:,MEDIAN HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS),,,,
R1901,05000US25015,"Hampshire County, Massachusetts",64,"74,778","+/-4,465"
R1901,05000US25017,"Middlesex County, Massachusetts",64,"107,056","+/-2,793"
R1901,05000US25021,"Norfolk County, Massachusetts",64,"107,361","+/-4,022"
R1901,05000US25023,"Plymouth County, Massachusetts",64,"90,880","+/-2,512"
R1901,05000US25025,"Suffolk County, Massachusetts",64,"77,558","+/-3,968"
R1901,05000US25027,"Worcester County, Massachusetts",64,"78,345","+/-3,440"
R1901,05000US26005,"Allegan County, Michigan",64,"66,278","+/-4,306"
R1901,05000US26017,"Bay County, Michigan",64,"49,610","+/-2,890"
R1901,05000US26021,"Berrien County, Michigan",64,"50,153","+/-2,276"
R1901,05000US26025,"Calhoun County, Michigan",64,"49,055","+/-3,626"
R1901,05000US26037,"Clinton County, Michigan",64,"69,651","+/-6,530"
R1901,05000US26045,"Eaton County, Michigan",64,"65,409","+/-4,097"
R1901,05000US26049,"Genesee County, Michigan",64,"50,389","+/-1,752"
R1901,05000US26055,"Grand Traverse County, Michigan",64,"65,266","+/-4,866"
R1901,05000US26065,"Ingham County, Michigan",64,"54,395","+/-2,685"
R1901,05000US26073,"Isabella County, Michigan",64,"45,201","+/-3,164"
R1901,05000US26075,"Jackson County, Michigan",64,"55,124","+/-4,113"
R1901,05000US26077,"Kalamazoo County, Michigan",64,"56,441","+/-1,702"
R1901,05000US26081,"Kent County, Michigan",64,"66,532","+/-1,867"
R1901,05000US26087,"Lapeer County, Michigan",64,"66,263","+/-3,403"
R1901,05000US26091,"Lenawee County, Michigan",64,"53,865","+/-3,844"
R1901,05000US26093,"Livingston County, Michigan",64,"86,512","+/-4,202"
R1901,05000US26099,"Macomb County, Michigan",64,"64,947","+/-1,776"
R1901,05000US26103,"Marquette County, Michigan",64,"55,148","+/-5,681"
R1901,05000US26111,"Midland County, Michigan",64,"69,872","+/-5,384"
R1901,05000US26115,"Monroe County, Michigan",64,"62,839","+/-3,770"
R1901,05000US26121,"Muskegon County, Michigan",64,"50,366","+/-2,865"
R1901,05000US26125,"Oakland County, Michigan",64,"81,190","+/-1,049"
R1901,05000US26139,"Ottawa County, Michigan",64,"68,817","+/-3,098"
R1901,05000US26145,"Saginaw County, Michigan",64,"48,303","+/-2,158"
R1901,05000US26147,"St. Clair County, Michigan",64,"59,837","+/-4,564"
R1901,05000US26155,"Shiawassee County, Michigan",64,"55,249","+/-3,846"
R1901,05000US26159,"Van Buren County, Michigan",64,"60,549","+/-5,914"
R1901,05000US26161,"Washtenaw County, Michigan",64,"76,576","+/-3,151"
R1901,05000US26163,"Wayne County, Michigan",64,"50,753",+/-741
R1901,05000US27003,"Anoka County, Minnesota",64,"83,353","+/-2,385"
R1901,05000US27013,"Blue Earth County, Minnesota",64,"61,133","+/-7,285"
R1901,05000US27019,"Carver County, Minnesota",64,"101,434","+/-2,545"
R1901,05000US27035,"Crow Wing County, Minnesota",64,"60,534","+/-3,009"
R1901,05000US27037,"Dakota County, Minnesota",64,"88,864","+/-3,337"
R1901,05000US27053,"Hennepin County, Minnesota",64,"82,369","+/-1,322"
R1901,05000US27109,"Olmsted County, Minnesota",64,"80,096","+/-5,379"
R1901,05000US27123,"Ramsey County, Minnesota",64,"68,871","+/-2,432"
R1901,05000US27131,"Rice County, Minnesota",64,"72,469","+/-7,370"
R1901,05000US27137,"St. Louis County, Minnesota",64,"60,434","+/-2,151"
R1901,05000US27139,"Scott County, Minnesota",64,"108,761","+/-5,120"
R1901,05000US27141,"Sherburne County, Minnesota",64,"96,210","+/-5,379"
R1901,05000US27145,"Stearns County, Minnesota",64,"66,558","+/-2,838"
R1901,05000US27163,"Washington County, Minnesota",64,"100,596","+/-3,481"
R1901,05000US27171,"Wright County, Minnesota",64,"91,707","+/-6,646"
R1901,05000US28033,"DeSoto County, Mississippi",64,"66,078","+/-5,127"
R1901,05000US28035,"Forrest County, Mississippi",64,"39,063","+/-4,380"
R1901,05000US28047,"Harrison County, Mississippi",64,"50,119","+/-3,801"
R1901,05000US28049,"Hinds County, Mississippi",64,"44,964","+/-2,646"
R1901,05000US28059,"Jackson County, Mississippi",64,"52,476","+/-4,047"
R1901,05000US28067,"Jones County, Mississippi",64,"37,594","+/-7,072"
R1901,05000US28075,"Lauderdale County, Mississippi",64,"37,497","+/-5,965"
R1901,05000US28081,"Lee County, Mississippi",64,"49,715","+/-6,250"
R1901,05000US28089,"Madison County, Mississippi",64,"68,171","+/-5,440"
R1901,05000US28121,"Rankin County, Mississippi",64,"67,012","+/-3,902"
R1901,05000US29019,"Boone County, Missouri",64,"57,013","+/-4,500"
R1901,05000US29021,"Buchanan County, Missouri",64,"46,922","+/-5,906"
R1901,05000US29031,"Cape Girardeau County, Missouri",64,"57,908","+/-6,876"
R1901,05000US29037,"Cass County, Missouri",64,"72,819","+/-7,273"
R1901,05000US29043,"Christian County, Missouri",64,"62,765","+/-5,608"
R1901,05000US29047,"Clay County, Missouri",64,"70,253","+/-2,850"
R1901,05000US29051,"Cole County, Missouri",64,"61,371","+/-4,011"
R1901,05000US29071,"Franklin County, Missouri",64,"60,953","+/-3,766"
R1901,05000US29077,"Greene County, Missouri",64,"43,752","+/-2,648"
R1901,05000US29095,"Jackson County, Missouri",64,"57,936","+/-1,768"
R1901,05000US29097,"Jasper County, Missouri",64,"45,010","+/-3,250"
R1901,05000US29099,"Jefferson County, Missouri",64,"69,009","+/-4,643"
R1901,05000US29165,"Platte County, Missouri",64,"81,712","+/-7,836"
R1901,05000US29183,"St. Charles County, Missouri",64,"89,146","+/-2,449"
R1901,05000US29187,"St. Francois County, Missouri",64,"42,390","+/-3,664"
R1901,05000US29189,"St. Louis County, Missouri",64,"70,022","+/-1,923"
R1901,05000US29510,"St. Louis city, Missouri",64,"47,176","+/-2,893"
R1901,05000US30013,"Cascade County, Montana",64,"51,227","+/-4,181"
R1901,05000US30029,"Flathead County, Montana",64,"62,588","+/-5,520"
R1901,05000US30031,"Gallatin County, Montana",64,"75,418","+/-5,764"
R1901,05000US30049,"Lewis and Clark County, Montana",64,"67,616","+/-8,550"
R1901,05000US30063,"Missoula County, Montana",64,"57,347","+/-2,977"
R1901,05000US30111,"Yellowstone County, Montana",64,"61,186","+/-2,846"
R1901,05000US31055,"Douglas County, Nebraska",64,"67,133","+/-2,203"
R1901,05000US31109,"Lancaster County, Nebraska",64,"61,175","+/-1,553"
R1901,05000US31153,"Sarpy County, Nebraska",64,"83,720","+/-2,948"
R1901,05000US32003,"Clark County, Nevada",64,"62,107",+/-863
R1901,05000US32031,"Washoe County, Nevada",64,"71,881","+/-2,463"
R1901,05000US33005,"Cheshire County, New Hampshire",64,"66,088","+/-6,829"
R1901,05000US33009,"Grafton County, New Hampshire",64,"60,588","+/-5,072"
R1901,05000US33011,"Hillsborough County, New Hampshire",64,"83,626","+/-4,891"
R1901,05000US33013,"Merrimack County, New Hampshire",64,"76,218","+/-5,098"
R1901,05000US33015,"Rockingham County, New Hampshire",64,"91,249","+/-3,217"
R1901,05000US33017,"Strafford County, New Hampshire",64,"71,765","+/-4,885"
R1901,05000US34001,"Atlantic County, New Jersey",64,"63,389","+/-3,294"
R1901,05000US34003,"Bergen County, New Jersey",64,"108,827","+/-3,521"
R1901,05000US34005,"Burlington County, New Jersey",64,"88,797","+/-3,533"
R1901,05000US34007,"Camden County, New Jersey",64,"73,672","+/-2,694"
R1901,05000US34009,"Cape May County, New Jersey",64,"69,980","+/-7,037"
R1901,05000US34011,"Cumberland County, New Jersey",64,"54,587","+/-5,572"
R1901,05000US34013,"Essex County, New Jersey",64,"64,626","+/-2,713"
R1901,05000US34015,"Gloucester County, New Jersey",64,"89,447","+/-5,967"
R1901,05000US34017,"Hudson County, New Jersey",64,"78,808","+/-3,056"
R1901,05000US34019,"Hunterdon County, New Jersey",64,"116,155","+/-9,654"
R1901,05000US34021,"Mercer County, New Jersey",64,"79,492","+/-5,633"
R1901,05000US34023,"Middlesex County, New Jersey",64,"93,418","+/-3,720"
R1901,05000US34025,"Monmouth County, New Jersey",64,"102,870","+/-2,944"
R1901,05000US34027,"Morris County, New Jersey",64,"116,283","+/-4,894"
R1901,05000US34029,"Ocean County, New Jersey",64,"76,093","+/-2,971"
R1901,05000US34031,"Passaic County, New Jersey",64,"77,040","+/-2,556"
R1901,05000US34033,"Salem County, New Jersey",64,"68,531","+/-3,073"
R1901,05000US34035,"Somerset County, New Jersey",64,"111,587","+/-6,959"
R1901,05000US34037,"Sussex County, New Jersey",64,"101,130","+/-4,090"
R1901,05000US34039,"Union County, New Jersey",64,"80,339","+/-3,814"
R1901,05000US34041,"Warren County, New Jersey",64,"84,479","+/-4,078"
R1901,05000US35001,"Bernalillo County, New Mexico",64,"56,115","+/-2,291"
R1901,05000US35005,"Chaves County, New Mexico",64,"42,003","+/-4,911"
R1901,05000US35013,"Doña Ana County, New Mexico",64,"43,038","+/-3,303"
R1901,05000US35025,"Lea County, New Mexico",64,"68,457","+/-9,074"
R1901,05000US35031,"McKinley County, New Mexico",64,"37,153","+/-4,875"
R1901,05000US35035,"Otero County, New Mexico",64,"39,371","+/-6,361"
R1901,05000US35043,"Sandoval County, New Mexico",64,"71,997","+/-4,398"
R1901,05000US35045,"San Juan County, New Mexico",64,"44,321","+/-3,487"
R1901,05000US35049,"Santa Fe County, New Mexico",64,"61,298","+/-4,088"
R1901,05000US35061,"Valencia County, New Mexico",64,"60,601","+/-7,102"
R1901,05000US36001,"Albany County, New York",64,"69,953","+/-4,889"
R1901,05000US36005,"Bronx County, New York",64,"41,432","+/-1,090"
R1901,05000US36007,"Broome County, New York",64,"52,010","+/-3,777"
R1901,05000US36009,"Cattaraugus County, New York",64,"50,912","+/-2,594"
R1901,05000US36011,"Cayuga County, New York",64,"58,665","+/-4,419"
R1901,05000US36013,"Chautauqua County, New York",64,"50,272","+/-2,689"
R1901,05000US36015,"Chemung County, New York",64,"60,782","+/-5,361"
R1901,05000US36019,"Clinton County, New York",64,"60,198","+/-5,044"
R1901,05000US36027,"Dutchess County, New York",64,"85,901","+/-4,980"
R1901,05000US36029,"Erie County, New York",64,"60,652","+/-1,175"
R1901,05000US36045,"Jefferson County, New York",64,"53,917","+/-3,182"
R1901,05000US36047,"Kings County, New York",64,"66,937","+/-1,343"
R1901,05000US36051,"Livingston County, New York",64,"59,173","+/-4,255"
R1901,05000US36053,"Madison County, New York",64,"62,918","+/-7,196"
R1901,05000US36055,"Monroe County, New York",64,"62,103","+/-1,588"
R1901,05000US36059,"Nassau County, New York",64,"118,453","+/-2,877"
R1901,05000US36061,"New York County, New York",64,"93,651","+/-3,322"
R1901,05000US36063,"Niagara County, New York",64,"56,304","+/-3,279"
R1901,05000US36065,"Oneida County, New York",64,"57,391","+/-3,867"
R1901,05000US36067,"Onondaga County, New York",64,"61,577","+/-1,705"
R1901,05000US36069,"Ontario County, New York",64,"66,568","+/-3,444"
R1901,05000US36071,"Orange County, New York",64,"84,458","+/-4,115"
R1901,05000US36075,"Oswego County, New York",64,"58,459","+/-4,387"
R1901,05000US36079,"Putnam County, New York",64,"106,204","+/-5,290"
R1901,05000US36081,"Queens County, New York",64,"73,696","+/-1,832"
R1901,05000US36083,"Rensselaer County, New York",64,"71,574","+/-3,684"
R1901,05000US36085,"Richmond County, New York",64,"89,821","+/-5,711"
R1901,05000US36087,"Rockland County, New York",64,"100,916","+/-3,632"
R1901,05000US36089,"St. Lawrence County, New York",64,"52,108","+/-4,862"
R1901,05000US36091,"Saratoga County, New York",64,"89,932","+/-4,301"
R1901,05000US36093,"Schenectady County, New York",64,"65,773","+/-5,060"
R1901,05000US36101,"Steuben County, New York",64,"52,951","+/-2,288"
R1901,05000US36103,"Suffolk County, New York",64,"106,228","+/-3,154"
R1901,05000US36105,"Sullivan County, New York",64,"60,137","+/-4,340"
R1901,05000US36109,"Tompkins County, New York",64,"58,626","+/-5,696"
R1901,05000US36111,"Ulster County, New York",64,"64,087","+/-3,519"
R1901,05000US36113,"Warren County, New York",64,"64,985","+/-6,205"
R1901,05000US36117,"Wayne County, New York",64,"61,730","+/-6,356"
R1901,05000US36119,"Westchester County, New York",64,"101,908","+/-2,096"
R1901,05000US37001,"Alamance County, North Carolina",64,"58,490","+/-3,688"
R1901,05000US37019,"Brunswick County, North Carolina",64,"63,668","+/-3,211"
R1901,05000US37021,"Buncombe County, North Carolina",64,"54,970","+/-3,586"
R1901,05000US37023,"Burke County, North Carolina",64,"47,361","+/-4,705"
R1901,05000US37025,"Cabarrus County, North Carolina",64,"72,333","+/-4,891"
R1901,05000US37027,"Caldwell County, North Carolina",64,"48,737","+/-3,982"
R1901,05000US37031,"Carteret County, North Carolina",64,"60,186","+/-3,916"
R1901,05000US37035,"Catawba County, North Carolina",64,"52,436","+/-3,854"
R1901,05000US37037,"Chatham County, North Carolina",64,"66,857","+/-5,884"
R1901,05000US37045,"Cleveland County, North Carolina",64,"44,987","+/-3,403"
R1901,05000US37049,"Craven County, North Carolina",64,"52,832","+/-6,314"
R1901,05000US37051,"Cumberland County, North Carolina",64,"46,292","+/-1,707"
R1901,05000US37057,"Davidson County, North Carolina",64,"53,473","+/-5,916"
R1901,05000US37063,"Durham County, North Carolina",64,"65,317","+/-3,614"
R1901,05000US37067,"Forsyth County, North Carolina",64,"52,017","+/-2,610"
R1901,05000US37069,"Franklin County, North Carolina",64,"57,099","+/-8,109"
R1901,05000US37071,"Gaston County, North Carolina",64,"56,595","+/-2,954"
R1901,05000US37081,"Guilford County, North Carolina",64,"55,328","+/-2,852"
R1901,05000US37085,"Harnett County, North Carolina",64,"55,753","+/-5,212"
R1901,05000US37089,"Henderson County, North Carolina",64,"62,131","+/-2,936"
R1901,05000US37097,"Iredell County, North Carolina",64,"68,660","+/-4,069"
R1901,05000US37101,"Johnston County, North Carolina",64,"60,951","+/-6,167"
R1901,05000US37109,"Lincoln County, North Carolina",64,"71,514","+/-4,430"
R1901,05000US37119,"Mecklenburg County, North Carolina",64,"69,072","+/-2,224"
R1901,05000US37125,"Moore County, North Carolina",64,"62,469","+/-6,066"
R1901,05000US37127,"Nash County, North Carolina",64,"50,656","+/-3,266"
R1901,05000US37129,"New Hanover County, North Carolina",64,"56,382","+/-3,227"
R1901,05000US37133,"Onslow County, North Carolina",64,"49,544","+/-4,326"
R1901,05000US37135,"Orange County, North Carolina",64,"74,299","+/-5,419"
R1901,05000US37147,"Pitt County, North Carolina",64,"53,401","+/-3,100"
R1901,05000US37151,"Randolph County, North Carolina",64,"49,742","+/-2,544"
R1901,05000US37155,"Robeson County, North Carolina",64,"35,035","+/-3,180"
R1901,05000US37157,"Rockingham County, North Carolina",64,"43,230","+/-3,586"
R1901,05000US37159,"Rowan County, North Carolina",64,"51,927","+/-3,441"
R1901,05000US37161,"Rutherford County, North Carolina",64,"44,361","+/-3,283"
R1901,05000US37171,"Surry County, North Carolina",64,"49,250","+/-4,722"
R1901,05000US37179,"Union County, North Carolina",64,"85,985","+/-5,134"
R1901,05000US37183,"Wake County, North Carolina",64,"84,215","+/-2,081"
R1901,05000US37191,"Wayne County, North Carolina",64,"44,596","+/-3,414"
R1901,05000US37193,"Wilkes County, North Carolina",64,"43,290","+/-5,319"
R1901,05000US37195,"Wilson County, North Carolina",64,"38,830","+/-4,122"
R1901,05000US38015,"Burleigh County, North Dakota",64,"72,494","+/-5,065"
R1901,05000US38017,"Cass County, North Dakota",64,"62,218","+/-4,861"
R1901,05000US38035,"Grand Forks County, North Dakota",64,"56,622","+/-3,096"
R1901,05000US38101,"Ward County, North Dakota",64,"71,415","+/-6,293"
R1901,05000US39003,"Allen County, Ohio",64,"60,429","+/-5,584"
R1901,05000US39007,"Ashtabula County, Ohio",64,"44,580","+/-5,729"
R1901,05000US39009,"Athens County, Ohio",64,"41,851","+/-6,158"
R1901,05000US39013,"Belmont County, Ohio",64,"49,780","+/-4,279"
R1901,05000US39017,"Butler County, Ohio",64,"68,584","+/-2,871"
R1901,05000US39023,"Clark County, Ohio",64,"50,128","+/-2,888"
R1901,05000US39025,"Clermont County, Ohio",64,"67,744","+/-3,727"
R1901,05000US39029,"Columbiana County, Ohio",64,"53,542","+/-3,918"
R1901,05000US39035,"Cuyahoga County, Ohio",64,"52,423",+/-979
R1901,05000US39041,"Delaware County, Ohio",64,"107,854","+/-6,281"
R1901,05000US39043,"Erie County, Ohio",64,"60,653","+/-6,021"
R1901,05000US39045,"Fairfield County, Ohio",64,"71,469","+/-5,311"
R1901,05000US39049,"Franklin County, Ohio",64,"64,713","+/-1,821"
R1901,05000US39055,"Geauga County, Ohio",64,"77,391","+/-4,959"
R1901,05000US39057,"Greene County, Ohio",64,"67,394","+/-6,409"
R1901,05000US39061,"Hamilton County, Ohio",64,"60,198","+/-1,528"
R1901,05000US39063,"Hancock County, Ohio",64,"60,944","+/-5,477"
R1901,05000US39081,"Jefferson County, Ohio",64,"47,445","+/-4,663"
R1901,05000US39085,"Lake County, Ohio",64,"64,076","+/-3,856"
R1901,05000US39089,"Licking County, Ohio",64,"66,013","+/-4,293"
R1901,05000US39093,"Lorain County, Ohio",64,"58,686","+/-2,216"
R1901,05000US39095,"Lucas County, Ohio",64,"49,448","+/-2,110"
R1901,05000US39099,"Mahoning County, Ohio",64,"47,170","+/-3,414"
R1901,05000US39101,"Marion County, Ohio",64,"50,608","+/-4,364"
R1901,05000US39103,"Medina County, Ohio",64,"76,468","+/-5,611"
R1901,05000US39109,"Miami County, Ohio",64,"62,451","+/-5,264"
R1901,05000US39113,"Montgomery County, Ohio",64,"54,537","+/-2,342"
R1901,05000US39119,"Muskingum County, Ohio",64,"51,844","+/-7,238"
R1901,05000US39133,"Portage County, Ohio",64,"56,679","+/-2,408"
R1901,05000US39139,"Richland County, Ohio",64,"51,783","+/-3,328"
R1901,05000US39141,"Ross County, Ohio",64,"55,717","+/-10,074"
R1901,05000US39145,"Scioto County, Ohio",64,"45,571","+/-7,455"
R1901,05000US39151,"Stark County, Ohio",64,"55,499","+/-1,953"
R1901,05000US39153,"Summit County, Ohio",64,"57,364","+/-2,302"
R1901,05000US39155,"Trumbull County, Ohio",64,"47,087","+/-2,778"
R1901,05000US39157,"Tuscarawas County, Ohio",64,"53,616","+/-3,420"
R1901,05000US39165,"Warren County, Ohio",64,"90,837","+/-4,158"
R1901,05000US39169,"Wayne County, Ohio",64,"57,458","+/-4,410"
R1901,05000US39173,"Wood County, Ohio",64,"63,791","+/-4,007"
R1901,05000US40017,"Canadian County, Oklahoma",64,"73,635","+/-5,498"
R1901,05000US40027,"Cleveland County, Oklahoma",64,"64,290","+/-3,089"
R1901,05000US40031,"Comanche County, Oklahoma",64,"51,300","+/-3,579"
R1901,05000US40037,"Creek County, Oklahoma",64,"54,969","+/-5,332"
R1901,05000US40101,"Muskogee County, Oklahoma",64,"42,450","+/-4,535"
R1901,05000US40109,"Oklahoma County, Oklahoma",64,"56,235","+/-1,358"
R1901,05000US40119,"Payne County, Oklahoma",64,"41,272","+/-2,754"
R1901,05000US40125,"Pottawatomie County, Oklahoma",64,"53,511","+/-3,677"
R1901,05000US40131,"Rogers County, Oklahoma",64,"66,132","+/-3,533"
R1901,05000US40143,"Tulsa County, Oklahoma",64,"57,483","+/-1,515"
R1901,05000US40145,"Wagoner County, Oklahoma",64,"64,319","+/-4,127"
R1901,05000US41003,"Benton County, Oregon",64,"70,835","+/-5,994"
R1901,05000US41005,"Clackamas County, Oregon",64,"80,294","+/-4,259"
R1901,05000US41017,"Deschutes County, Oregon",64,"71,643","+/-5,972"
R1901,05000US41019,"Douglas County, Oregon",64,"48,585","+/-3,412"
R1901,05000US41029,"Jackson County, Oregon",64,"56,450","+/-3,420"
R1901,05000US41033,"Josephine County, Oregon",64,"47,573","+/-5,399"
R1901,05000US41035,"Klamath County, Oregon",64,"56,348","+/-5,298"
R1901,05000US41039,"Lane County, Oregon",64,"57,325","+/-2,404"
R1901,05000US41043,"Linn County, Oregon",64,"61,488","+/-3,018"
R1901,05000US41047,"Marion County, Oregon",64,"64,306","+/-2,008"
R1901,05000US41051,"Multnomah County, Oregon",64,"72,900","+/-2,475"
R1901,05000US41053,"Polk County, Oregon",64,"72,914","+/-9,499"
R1901,05000US41059,"Umatilla County, Oregon",64,"60,425","+/-6,176"
R1901,05000US41067,"Washington County, Oregon",64,"85,734","+/-3,162"
R1901,05000US41071,"Yamhill County, Oregon",64,"72,904","+/-4,546"
R1901,05000US42001,"Adams County, Pennsylvania",64,"67,715","+/-4,662"
R1901,05000US42003,"Allegheny County, Pennsylvania",64,"64,871","+/-1,418"
R1901,05000US42005,"Armstrong County, Pennsylvania",64,"57,636","+/-3,751"
R1901,05000US42007,"Beaver County, Pennsylvania",64,"60,672","+/-3,120"
R1901,05000US42011,"Berks County, Pennsylvania",64,"67,708","+/-2,892"
R1901,05000US42013,"Blair County, Pennsylvania",64,"51,004","+/-3,742"
R1901,05000US42017,"Bucks County, Pennsylvania",64,"93,767","+/-3,193"
R1901,05000US42019,"Butler County, Pennsylvania",64,"72,262","+/-4,809"
R1901,05000US42021,"Cambria County, Pennsylvania",64,"49,076","+/-3,154"
R1901,05000US42025,"Carbon County, Pennsylvania",64,"61,111","+/-5,077"
R1901,05000US42027,"Centre County, Pennsylvania",64,"60,706","+/-3,993"
R1901,05000US42029,"Chester County, Pennsylvania",64,"102,016","+/-3,677"
R1901,05000US42033,"Clearfield County, Pennsylvania",64,"45,643","+/-3,618"
R1901,05000US42037,"Columbia County, Pennsylvania",64,"54,570","+/-6,273"
R1901,05000US42039,"Crawford County, Pennsylvania",64,"49,428","+/-3,765"
R1901,05000US42041,"Cumberland County, Pennsylvania",64,"75,391","+/-2,549"
R1901,05000US42043,"Dauphin County, Pennsylvania",64,"60,733","+/-2,917"
R1901,05000US42045,"Delaware County, Pennsylvania",64,"77,339","+/-4,322"
R1901,05000US42049,"Erie County, Pennsylvania",64,"51,818","+/-1,845"
R1901,05000US42051,"Fayette County, Pennsylvania",64,"48,509","+/-2,743"
R1901,05000US42055,"Franklin County, Pennsylvania",64,"62,484","+/-4,314"
R1901,05000US42063,"Indiana County, Pennsylvania",64,"51,914","+/-3,503"
R1901,05000US42069,"Lackawanna County, Pennsylvania",64,"53,826","+/-3,270"
R1901,05000US42071,"Lancaster County, Pennsylvania",64,"67,376","+/-2,343"
R1901,05000US42073,"Lawrence County, Pennsylvania",64,"50,547","+/-3,852"
R1901,05000US42075,"Lebanon County, Pennsylvania",64,"61,204","+/-4,171"
R1901,05000US42077,"Lehigh County, Pennsylvania",64,"65,667","+/-3,310"
R1901,05000US42079,"Luzerne County, Pennsylvania",64,"53,972","+/-3,026"
R1901,05000US42081,"Lycoming County, Pennsylvania",64,"53,881","+/-4,811"
R1901,05000US42085,"Mercer County, Pennsylvania",64,"54,543","+/-2,750"
R1901,05000US42089,"Monroe County, Pennsylvania",64,"62,413","+/-4,524"
R1901,05000US42091,"Montgomery County, Pennsylvania",64,"92,302","+/-1,934"
R1901,05000US42095,"Northampton County, Pennsylvania",64,"74,328","+/-3,380"
R1901,05000US42097,"Northumberland County, Pennsylvania",64,"47,349","+/-3,810"
R1901,05000US42101,"Philadelphia County, Pennsylvania",64,"47,474","+/-1,609"
R1901,05000US42107,"Schuylkill County, Pennsylvania",64,"56,295","+/-2,054"
R1901,05000US42111,"Somerset County, Pennsylvania",64,"48,895","+/-2,432"
R1901,05000US42125,"Washington County, Pennsylvania",64,"65,431","+/-4,078"
R1901,05000US42129,"Westmoreland County, Pennsylvania",64,"59,073","+/-3,395"
R1901,05000US42133,"York County, Pennsylvania",64,"69,172","+/-2,508"
R1901,05000US44003,"Kent County, Rhode Island",64,"74,474","+/-3,467"
R1901,05000US44005,"Newport County, Rhode Island",64,"81,652","+/-4,678"
R1901,05000US44007,"Providence County, Rhode Island",64,"62,994","+/-2,696"
R1901,05000US44009,"Washington County, Rhode Island",64,"90,003","+/-10,553"
R1901,05000US45003,"Aiken County, South Carolina",64,"55,634","+/-6,810"
R1901,05000US45007,"Anderson County, South Carolina",64,"54,322","+/-4,167"
R1901,05000US45013,"Beaufort County, South Carolina",64,"74,127","+/-4,032"
R1901,05000US45015,"Berkeley County, South Carolina",64,"69,398","+/-3,695"
R1901,05000US45019,"Charleston County, South Carolina",64,"71,531","+/-2,664"
R1901,05000US45031,"Darlington County, South Carolina",64,"44,606","+/-5,155"
R1901,05000US45035,"Dorchester County, South Carolina",64,"68,200","+/-6,149"
R1901,05000US45041,"Florence County, South Carolina",64,"50,082","+/-3,475"
R1901,05000US45045,"Greenville County, South Carolina",64,"64,412","+/-2,843"
R1901,05000US45047,"Greenwood County, South Carolina",64,"42,148","+/-3,370"
R1901,05000US45051,"Horry County, South Carolina",64,"53,694","+/-2,584"
R1901,05000US45055,"Kershaw County, South Carolina",64,"55,198","+/-8,222"
R1901,05000US45057,"Lancaster County, South Carolina",64,"63,924","+/-5,459"
R1901,05000US45059,"Laurens County, South Carolina",64,"47,218","+/-6,102"
R1901,05000US45063,"Lexington County, South Carolina",64,"61,631","+/-2,469"
R1901,05000US45073,"Oconee County, South Carolina",64,"48,204","+/-5,954"
R1901,05000US45075,"Orangeburg County, South Carolina",64,"37,701","+/-3,540"
R1901,05000US45077,"Pickens County, South Carolina",64,"52,190","+/-4,750"
R1901,05000US45079,"Richland County, South Carolina",64,"52,293","+/-2,456"
R1901,05000US45083,"Spartanburg County, South Carolina",64,"55,339","+/-3,024"
R1901,05000US45085,"Sumter County, South Carolina",64,"51,025","+/-3,907"
R1901,05000US45091,"York County, South Carolina",64,"66,949","+/-4,857"
R1901,05000US46099,"Minnehaha County, South Dakota",64,"61,968","+/-3,417"
R1901,05000US46103,"Pennington County, South Dakota",64,"58,085","+/-4,236"
R1901,05000US47001,"Anderson County, Tennessee",64,"49,044","+/-5,511"
R1901,05000US47009,"Blount County, Tennessee",64,"59,276","+/-4,526"
R1901,05000US47011,"Bradley County, Tennessee",64,"52,468","+/-5,149"
R1901,05000US47037,"Davidson County, Tennessee",64,"63,938","+/-2,439"
R1901,05000US47059,"Greene County, Tennessee",64,"44,722","+/-5,473"
R1901,05000US47065,"Hamilton County, Tennessee",64,"57,502","+/-2,831"
R1901,05000US47093,"Knox County, Tennessee",64,"60,283","+/-2,427"
R1901,05000US47113,"Madison County, Tennessee",64,"49,820","+/-3,970"
R1901,05000US47119,"Maury County, Tennessee",64,"66,781","+/-2,585"
R1901,05000US47125,"Montgomery County, Tennessee",64,"56,948","+/-4,433"
R1901,05000US47141,"Putnam County, Tennessee",64,"49,282","+/-4,756"
R1901,05000US47147,"Robertson County, Tennessee",64,"66,939","+/-6,714"
R1901,05000US47149,"Rutherford County, Tennessee",64,"69,397","+/-3,316"
R1901,05000US47155,"Sevier County, Tennessee",64,"57,741","+/-5,866"
R1901,05000US47157,"Shelby County, Tennessee",64,"52,614","+/-2,477"
R1901,05000US47163,"Sullivan County, Tennessee",64,"51,860","+/-4,362"
R1901,05000US47165,"Sumner County, Tennessee",64,"68,743","+/-3,889"
R1901,05000US47179,"Washington County, Tennessee",64,"51,428","+/-5,236"
R1901,05000US47187,"Williamson County, Tennessee",64,"115,507","+/-7,624"
R1901,05000US47189,"Wilson County, Tennessee",64,"80,071","+/-6,534"
R1901,05000US48005,"Angelina County, Texas",64,"53,320","+/-4,598"
R1901,05000US48021,"Bastrop County, Texas",64,"57,938","+/-14,278"
R1901,05000US48027,"Bell County, Texas",64,"54,560","+/-3,637"
R1901,05000US48029,"Bexar County, Texas",64,"58,964","+/-1,326"
R1901,05000US48037,"Bowie County, Texas",64,"51,802","+/-4,116"
