TBLID,GEOID,GEONAME,PROFLN,ESTIMATE,MG_ERROR
TITLE:,MEDIAN HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS),,,,
R1901,05000US05143,"Washington County, Arkansas",64,"50,798","+/-3,546"
R1901,05000US05145,"White County, Arkansas",64,"43,399","+/-4,720"
R1901,05000US06001,"Alameda County, California",64,"108,322","+/-2,704"
R1901,05000US06007,"Butte County, California",64,"62,563","+/-6,056"
R1901,05000US06013,"Contra Costa County, California",64,"107,135","+/-3,584"
R1901,05000US06017,"El Dorado County, California",64,"87,059","+/-6,290"
R1901,05000US06019,"Fresno County, California",64,"57,518","+/-2,684"
R1901,05000US06023,"Humboldt County, California",64,"51,662","+/-4,720"
R1901,05000US06025,"Imperial County, California",64,"48,472","+/-3,417"
R1901,05000US06029,"Kern County, California",64,"53,067","+/-2,168"
R1901,05000US06031,"Kings County, California",64,"58,453","+/-5,116"
R1901,05000US06033,"Lake County, California",64,"47,138","+/-4,388"
R1901,05000US06037,"Los Angeles County, California",64,"72,797",+/-749
R1901,05000US06039,"Madera County, California",64,"64,827","+/-6,251"
R1901,05000US06041,"Marin County, California",64,"110,843","+/-6,394"
R1901,05000US06045,"Mendocino County, California",64,"51,744","+/-4,022"
R1901,05000US06047,"Merced County, California",64,"61,167","+/-3,656"
R1901,05000US06053,"Monterey County, California",64,"77,514","+/-3,300"
R1901,05000US06055,"Napa County, California",64,"92,769","+/-6,473"
R1901,05000US06057,"Nevada County, California",64,"68,818","+/-7,165"
R1901,05000US06059,"Orange County, California",64,"95,934","+/-1,292"
R1901,05000US06061,"Placer County, California",64,"97,723","+/-3,589"
R1901,05000US06065,"Riverside County, California",64,"73,260","+/-1,762"
R1901,05000US06067,"Sacramento County, California",64,"72,017","+/-1,434"
R1901,05000US06071,"San Bernardino County, California",64,"67,903","+/-2,115"
R1901,05000US06073,"San Diego County, California",64,"83,985","+/-1,908"
R1901,05000US06075,"San Francisco County, California",64,"123,859","+/-4,727"
R1901,05000US06077,"San Joaquin County, California",64,"68,997","+/-2,715"
R1901,05000US06079,"San Luis Obispo County, California",64,"77,265","+/-3,750"
R1901,05000US06081,"San Mateo County, California",64,"138,500","+/-6,761"
R1901,05000US06083,"Santa Barbara County, California",64,"75,653","+/-4,506"
R1901,05000US06085,"Santa Clara County, California",64,"133,076","+/-3,515"
R1901,05000US06087,"Santa Cruz County, California",64,"89,269","+/-7,688"
R1901,05000US06089,"Shasta County, California",64,"63,091","+/-3,462"
R1901,05000US06095,"Solano County, California",64,"86,652","+/-3,867"
R1901,05000US06097,"Sonoma County, California",64,"87,828","+/-3,370"
R1901,05000US06099,"Stanislaus County, California",64,"63,037","+/-2,741"
R1901,05000US06101,"Sutter County, California",64,"62,777","+/-6,367"
R1901,05000US06103,"Tehama County, California",64,"53,475","+/-13,515"
R1901,05000US06107,"Tulare County, California",64,"57,692","+/-2,874"
R1901,05000US06111,"Ventura County, California",64,"92,236","+/-3,264"
R1901,05000US06113,"Yolo County, California",64,"71,417","+/-4,589"
R1901,05000US06115,"Yuba County, California",64,"58,765","+/-4,763"
R1901,05000US08001,"Adams County, Colorado",64,"75,804","+/-2,672"
R1901,05000US08005,"Arapahoe County, Colorado",64,"82,710","+/-2,865"
R1901,05000US08013,"Boulder County, Colorado",64,"88,535","+/-3,432"
R1901,05000US08014,"Broomfield County, Colorado",64,"111,400","+/-11,467"
R1901,05000US08031,"Denver County, Colorado",64,"75,646","+/-1,852"
R1901,05000US08035,"Douglas County, Colorado",64,"122,867","+/-3,420"
R1901,05000US08041,"El Paso County, Colorado",64,"72,830","+/-1,903"
R1901,05000US08059,"Jefferson County, Colorado",64,"90,040","+/-3,085"
R1901,05000US08069,"Larimer County, Colorado",64,"75,186","+/-2,731"
R1901,05000US08077,"Mesa County, Colorado",64,"60,500","+/-3,156"
R1901,05000US08101,"Pueblo County, Colorado",64,"51,276","+/-4,585"
R1901,05000US08123,"Weld County, Colorado",64,"78,615","+/-4,124"
R1901,05000US09001,"Fairfield County, Connecticut",64,"97,053","+/-4,056"
R1901,05000US09003,"Hartford County, Connecticut",64,"75,381","+/-2,126"
R1901,05000US09005,"Litchfield County, Connecticut",64,"81,195","+/-4,148"
R1901,05000US09007,"Middlesex County, Connecticut",64,"76,518","+/-7,924"
R1901,05000US09009,"New Haven County, Connecticut",64,"69,751","+/-2,834"
R1901,05000US09011,"New London County, Connecticut",64,"75,633","+/-4,758"
R1901,05000US09013,"Tolland County, Connecticut",64,"91,028","+/-8,446"
R1901,05000US09015,"Windham County, Connecticut",64,"62,106","+/-6,104"
R1901,05000US10001,"Kent County, Delaware",64,"58,001","+/-5,739"
R1901,05000US10003,"New Castle County, Delaware",64,"76,328","+/-2,845"
R1901,05000US10005,"Sussex County, Delaware",64,"65,155","+/-3,397"
R1901,05000US11001,"District of Columbia, District of Columbia",64,"92,266","+/-2,497"
R1901,05000US12001,"Alachua County, Florida",64,"49,534","+/-2,414"
R1901,05000US12005,"Bay County, Florida",64,"59,450","+/-3,737"
R1901,05000US12009,"Brevard County, Florida",64,"57,305","+/-2,633"
R1901,05000US12011,"Broward County, Florida",64,"61,502","+/-1,115"
R1901,05000US12015,"Charlotte County, Florida",64,"54,652","+/-4,458"
R1901,05000US12017,"Citrus County, Florida",64,"50,751","+/-3,560"
R1901,05000US12019,"Clay County, Florida",64,"76,687","+/-4,207"
R1901,05000US12021,"Collier County, Florida",64,"76,025","+/-3,640"
R1901,05000US12023,"Columbia County, Florida",64,"47,094","+/-6,220"
R1901,05000US12031,"Duval County, Florida",64,"58,415","+/-2,395"
R1901,05000US12033,"Escambia County, Florida",64,"53,136","+/-2,869"
R1901,05000US12035,"Flagler County, Florida",64,"60,204","+/-8,605"
R1901,05000US12053,"Hernando County, Florida",64,"51,031","+/-2,791"
R1901,05000US12055,"Highlands County, Florida",64,"48,698","+/-6,164"
R1901,05000US12057,"Hillsborough County, Florida",64,"61,154","+/-1,127"
R1901,05000US12061,"Indian River County, Florida",64,"59,782","+/-6,204"
R1901,05000US12069,"Lake County, Florida",64,"57,588","+/-3,264"
R1901,05000US12071,"Lee County, Florida",64,"62,240","+/-1,875"
R1901,05000US12073,"Leon County, Florida",64,"54,929","+/-2,127"
R1901,05000US12081,"Manatee County, Florida",64,"64,499","+/-2,535"
R1901,05000US12083,"Marion County, Florida",64,"49,576","+/-3,427"
R1901,05000US12085,"Martin County, Florida",64,"70,842","+/-7,770"
R1901,05000US12086,"Miami-Dade County, Florida",64,"55,171","+/-1,246"
R1901,05000US12087,"Monroe County, Florida",64,"68,589","+/-7,479"
R1901,05000US12089,"Nassau County, Florida",64,"70,939","+/-6,320"
R1901,05000US12091,"Okaloosa County, Florida",64,"64,222","+/-4,957"
R1901,05000US12095,"Orange County, Florida",64,"63,461","+/-1,954"
R1901,05000US12097,"Osceola County, Florida",64,"51,760","+/-2,976"
R1901,05000US12099,"Palm Beach County, Florida",64,"66,623","+/-1,292"
R1901,05000US12101,"Pasco County, Florida",64,"55,828","+/-2,206"
R1901,05000US12103,"Pinellas County, Florida",64,"56,737","+/-1,299"
R1901,05000US12105,"Polk County, Florida",64,"51,833","+/-1,157"
