GEOID,NAME,ESTIMATE
05109,"Pike County, Arkansas",37406
05111,"Poinsett County, Arkansas",39277
05113,"Polk County, Arkansas",37035
05115,"Pope County, Arkansas",41914
05117,"Prairie County, Arkansas",41846
05119,"Pulaski County, Arkansas",50093
05121,"Randolph County, Arkansas",36870
05123,"St. Francis County, Arkansas",35356
05125,"Saline County, Arkansas",62152
05127,"Scott County, Arkansas",35509
05129,"Searcy County, Arkansas",36390
05131,"Sebastian County, Arkansas",43240
05133,"Sevier County, Arkansas",46667
05135,"Sharp County, Arkansas",33708
05137,"Stone County, Arkansas",36162
05139,"Union County, Arkansas",44000
05141,"Van Buren County, Arkansas",36897
05143,"Washington County, Arkansas",49629
05145,"White County, Arkansas",43822
05147,"Woodruff County, Arkansas",31023
05149,"Yell County, Arkansas",42361
06001,"Alameda County, California",92574
06003,"Alpine County, California",64688
06005,"Amador County, California",61198
06007,"Butte County, California",48443
06009,"Calaveras County, California",58151
06011,"Colusa County, California",56704
06013,"Contra Costa County, California",93712
06015,"Del Norte County, California",45258
06017,"El Dorado County, California",80582
06019,"Fresno County, California",51261
06021,"Glenn County, California",47395
06023,"Humboldt County, California",45528
06025,"Imperial County, California",45834
06027,"Inyo County, California",52874
06029,"Kern County, California",52479
06031,"Kings County, California",53865
06033,"Lake County, California",42475
06035,"Lassen County, California",56362
06037,"Los Angeles County, California",64251
06039,"Madera County, California",52884
06041,"Marin County, California",110217
06043,"Mariposa County, California",51199
06045,"Mendocino County, California",49233
06047,"Merced County, California",50129
06049,"Modoc County, California",45149
06051,"Mono County, California",63018
06053,"Monterey County, California",66676
06055,"Napa County, California",84753
06057,"Nevada County, California",63240
06059,"Orange County, California",85398
06061,"Placer County, California",84357
06063,"Plumas County, California",53270
06065,"Riverside County, California",63948
06067,"Sacramento County, California",63902
06069,"San Benito County, California",81977
06071,"San Bernardino County, California",60164
06073,"San Diego County, California",74855
06075,"San Francisco County, California",104552
06077,"San Joaquin County, California",61145
06079,"San Luis Obispo County, California",70699
06081,"San Mateo County, California",113776
06083,"Santa Barbara County, California",71657
06085,"Santa Clara County, California",116178
06087,"Santa Cruz County, California",78041
06089,"Shasta County, California",50905
06091,"Sierra County, California",48125
06093,"Siskiyou County, California",44200
06095,"Solano County, California",77609
06097,"Sonoma County, California",76753
06099,"Stanislaus County, California",57387
06101,"Sutter County, California",56955
06103,"Tehama County, California",42899
06105,"Trinity County, California",38497
06107,"Tulare County, California",47518
06109,"Tuolumne County, California",56493
06111,"Ventura County, California",84017
06113,"Yolo County, California",65923
06115,"Yuba County, California",52624
08001,"Adams County, Colorado",67575
08003,"Alamosa County, Colorado",39191
08005,"Arapahoe County, Colorado",73925
08007,"Archuleta County, Colorado",50753
08009,"Baca County, Colorado",37500
08011,"Bent County, Colorado",34392
08013,"Boulder County, Colorado",78642
08014,"Broomfield County, Colorado",89624
08015,"Chaffee County, Colorado",54580
08017,"Cheyenne County, Colorado",55227
08019,"Clear Creek County, Colorado",69936
08021,"Conejos County, Colorado",34746
08023,"Costilla County, Colorado",30593
08025,"Crowley County, Colorado",37586
08027,"Custer County, Colorado",44644
08029,"Delta County, Colorado",44512
08031,"Denver County, Colorado",63793
08033,"Dolores County, Colorado",41714
08035,"Douglas County, Colorado",115314
08037,"Eagle County, Colorado",84685
08039,"Elbert County, Colorado",96658
08041,"El Paso County, Colorado",65334
08043,"Fremont County, Colorado",46296
08045,"Garfield County, Colorado",72898
08047,"Gilpin County, Colorado",75120
08049,"Grand County, Colorado",70469
08051,"Gunnison County, Colorado",54979
08053,"Hinsdale County, Colorado",52188
08055,"Huerfano County, Colorado",36705
08057,"Jackson County, Colorado",48828
08059,"Jefferson County, Colorado",78943
08061,"Kiowa County, Colorado",39784
08063,"Kit Carson County, Colorado",51046
08065,"Lake County, Colorado",46918
08067,"La Plata County, Colorado",64372
08069,"Larimer County, Colorado",67664
08071,"Las Animas County, Colorado",41945
08073,"Lincoln County, Colorado",49423
08075,"Logan County, Colorado",48922
08077,"Mesa County, Colorado",53683
08079,"Mineral County, Colorado",61058
08081,"Moffat County, Colorado",52807
08083,"Montezuma County, Colorado",46797
08085,"Montrose County, Colorado",48739
08087,"Morgan County, Colorado",51626
08089,"Otero County, Colorado",34136
08091,"Ouray County, Colorado",62230
08093,"Park County, Colorado",66861
08095,"Phillips County, Colorado",50724
08097,"Pitkin County, Colorado",71244
08099,"Prowers County, Colorado",40097
08101,"Pueblo County, Colorado",44634
08103,"Rio Blanco County, Colorado",55543
08105,"Rio Grande County, Colorado",38639
08107,"Routt County, Colorado",74273
08109,"Saguache County, Colorado",34410
08111,"San Juan County, Colorado",46563
08113,"San Miguel County, Colorado",64478
08115,"Sedgwick County, Colorado",45188
08117,"Summit County, Colorado",77589
08119,"Teller County, Colorado",65382
08121,"Washington County, Colorado",49375
08123,"Weld County, Colorado",70908
08125,"Yuma County, Colorado",48394
09001,"Fairfield County, Connecticut",92969
09003,"Hartford County, Connecticut",72321
09005,"Litchfield County, Connecticut",78314
09007,"Middlesex County, Connecticut",84761
09009,"New Haven County, Connecticut",67128
09011,"New London County, Connecticut",71368
09013,"Tolland County, Connecticut",84916
09015,"Windham County, Connecticut",64774
10001,"Kent County, Delaware",58775
10003,"New Castle County, Delaware",70996
10005,"Sussex County, Delaware",60853
11001,"District of Columbia, District of Columbia",82604
12001,"Alachua County, Florida",49078
12003,"Baker County, Florida",61769
12005,"Bay County, Florida",51829
12007,"Bradford County, Florida",46197
12009,"Brevard County, Florida",54359
12011,"Broward County, Florida",57333
12013,"Calhoun County, Florida",38609
12015,"Charlotte County, Florida",49225
12017,"Citrus County, Florida",41424
12019,"Clay County, Florida",62653
12021,"Collier County, Florida",65675
12023,"Columbia County, Florida",44491
12027,"DeSoto County, Florida",35057
12029,"Dixie County, Florida",38237
12031,"Duval County, Florida",53473
12033,"Escambia County, Florida",49286
12035,"Flagler County, Florida",53872
12037,"Franklin County, Florida",42855
12039,"Gadsden County, Florida",40922
12041,"Gilchrist County, Florida",42357
12043,"Glades County, Florida",39879
12045,"Gulf County, Florida",44291
12047,"Hamilton County, Florida",34583
12049,"Hardee County, Florida",37594
12051,"Hendry County, Florida",40728
12053,"Hernando County, Florida",46030
12055,"Highlands County, Florida",37314
12057,"Hillsborough County, Florida",56137
12059,"Holmes County, Florida",38608
12061,"Indian River County, Florida",52336
12063,"Jackson County, Florida",39002
12065,"Jefferson County, Florida",48173
12067,"Lafayette County, Florida",39543
12069,"Lake County, Florida",51884
12071,"Lee County, Florida",54691
12073,"Leon County, Florida",51201
12075,"Levy County, Florida",37634
12077,"Liberty County, Florida",37363
12079,"Madison County, Florida",35509
12081,"Manatee County, Florida",56036
12083,"Marion County, Florida",43361
12085,"Martin County, Florida",57959
12086,"Miami-Dade County, Florida",48982
12087,"Monroe County, Florida",67023
12089,"Nassau County, Florida",66297
12091,"Okaloosa County, Florida",62048
12093,"Okeechobee County, Florida",40367
12095,"Orange County, Florida",54335
12097,"Osceola County, Florida",50063
12099,"Palm Beach County, Florida",59943
12101,"Pasco County, Florida",50417
12103,"Pinellas County, Florida",51454
12105,"Polk County, Florida",48500
12107,"Putnam County, Florida",35649
12109,"St. Johns County, Florida",77323
12111,"St. Lucie County, Florida",49373
12113,"Santa Rosa County, Florida",66242
12115,"Sarasota County, Florida",58644
12117,"Seminole County, Florida",63760
12119,"Sumter County, Florida",55228
12121,"Suwannee County, Florida",42686
12123,"Taylor County, Florida",36934
12125,"Union County, Florida",41770
12127,"Volusia County, Florida",46760
12129,"Wakulla County, Florida",62778
12131,"Walton County, Florida",53785
12133,"Washington County, Florida",37188
13001,"Appling County, Georgia",39561
13003,"Atkinson County, Georgia",34877
13005,"Bacon County, Georgia",36964
13007,"Baker County, Georgia",37188
13009,"Baldwin County, Georgia",39426
13011,"Banks County, Georgia",45373
13013,"Barrow County, Georgia",57348
13015,"Bartow County, Georgia",55452
13017,"Ben Hill County, Georgia",32705
13019,"Berrien County, Georgia",37163
13021,"Bibb County, Georgia",39931
13023,"Bleckley County, Georgia",45029
13025,"Brantley County, Georgia",37031
13027,"Brooks County, Georgia",34322
13029,"Bryan County, Georgia",71322
13031,"Bulloch County, Georgia",41789
13033,"Burke County, Georgia",42773
13035,"Butts County, Georgia",41845
13037,"Calhoun County, Georgia",31725
13039,"Camden County, Georgia",56397
13043,"Candler County, Georgia",32937
13045,"Carroll County, Georgia",49608
13047,"Catoosa County, Georgia",55125
13049,"Charlton County, Georgia",40283
13051,"Chatham County, Georgia",54911
13053,"Chattahoochee County, Georgia",46453
13055,"Chattooga County, Georgia",36107
13057,"Cherokee County, Georgia",79670
13059,"Clarke County, Georgia",36889
13061,"Clay County, Georgia",25000
13063,"Clayton County, Georgia",45778
13065,"Clinch County, Georgia",25236
13067,"Cobb County, Georgia",75153
13069,"Coffee County, Georgia",38266
13071,"Colquitt County, Georgia",35472
13073,"Columbia County, Georgia",76938
13075,"Cook County, Georgia",38408
13077,"Coweta County, Georgia",70717
13079,"Crawford County, Georgia",43257
13081,"Crisp County, Georgia",35096
13083,"Dade County, Georgia",44471
13085,"Dawson County, Georgia",65805
13087,"Decatur County, Georgia",39148
13089,"DeKalb County, Georgia",59280
13091,"Dodge County, Georgia",35757
13093,"Dooly County, Georgia",35629
13095,"Dougherty County, Georgia",37633
13097,"Douglas County, Georgia",62147
13099,"Early County, Georgia",31567
13101,"Echols County, Georgia",34447
13103,"Effingham County, Georgia",65153
13105,"Elbert County, Georgia",37943
13107,"Emanuel County, Georgia",34946
13109,"Evans County, Georgia",39701
13111,"Fannin County, Georgia",45647
13113,"Fayette County, Georgia",87272
13115,"Floyd County, Georgia",46367
13117,"Forsyth County, Georgia",101743
13119,"Franklin County, Georgia",40198
13121,"Fulton County, Georgia",64787
13123,"Gilmer County, Georgia",49389
13125,"Glascock County, Georgia",41686
13127,"Glynn County, Georgia",50672
13129,"Gordon County, Georgia",44313
13131,"Grady County, Georgia",42348
13133,"Greene County, Georgia",49755
13135,"Gwinnett County, Georgia",67769
13137,"Habersham County, Georgia",49140
13139,"Hall County, Georgia",59898
13141,"Hancock County, Georgia",31984
13143,"Haralson County, Georgia",46353
13145,"Harris County, Georgia",74261
13147,"Hart County, Georgia",41358
13149,"Heard County, Georgia",48094
13151,"Henry County, Georgia",68609
13153,"Houston County, Georgia",58770
13155,"Irwin County, Georgia",32339
13157,"Jackson County, Georgia",62495
13159,"Jasper County, Georgia",43284
13161,"Jeff Davis County, Georgia",36531
13163,"Jefferson County, Georgia",34300
13165,"Jenkins County, Georgia",27311
13167,"Johnson County, Georgia",39813
13169,"Jones County, Georgia",53155
13171,"Lamar County, Georgia",41464
13173,"Lanier County, Georgia",39104
13175,"Laurens County, Georgia",37369
13177,"Lee County, Georgia",65420
13179,"Liberty County, Georgia",45959
13181,"Lincoln County, Georgia",41014
13183,"Long County, Georgia",55439
13185,"Lowndes County, Georgia",41390
13187,"Lumpkin County, Georgia",47488
13189,"McDuffie County, Georgia",39199
13191,"McIntosh County, Georgia",47114
13193,"Macon County, Georgia",31999
13195,"Madison County, Georgia",51701
13197,"Marion County, Georgia",44309
13199,"Meriwether County, Georgia",36351
13201,"Miller County, Georgia",42927
13205,"Mitchell County, Georgia",37027
13207,"Monroe County, Georgia",54050
13209,"Montgomery County, Georgia",40728
13211,"Morgan County, Georgia",62530
13213,"Murray County, Georgia",45238
13215,"Muscogee County, Georgia",45389
